+---------------+------------+------------+---------------+------------------+-------------------+-------------------+-------------------+--------------------+--------------------+-------------+------------+
| election_year | prefecture |  district  | district_code | first_place_name | first_place_party | first_place_votes | second_place_name | second_place_party | second_place_votes | vote_margin | margin_pct |
|          2024 | 三重       | 三重2区    | 24-02         | 下野 幸助        | 立憲民主党        |             90930 | 川崎 秀人         | 自由民主党         |              85863 |        5067 |       2.87 |
|          2024 | 大分       | 大分2区    | 44-02         | 広瀬 建          | 無所属            |             62699 | 吉川 元           | 立憲民主党         |              57234 |        5465 |       4.56 |
|          2024 | 秋田       | 秋田2区    | 05-02         | 緑川 貴士        | 立憲民主党        |             70895 | 福原 淳嗣         | 自由民主党         |              65200 |        5695 |       4.18 |
|          2024 | 神奈川     | 神奈川10区 | 14-10         | 田中 和徳        | 自由民主党        |             57380 | 金村 龍那         | 日本維新の会       |              51121 |        6259 |       5.77 |
|          2024 | 東京       | 東京30区   | 13-30         | 五十嵐 衣里      | 立憲民主党        |             98146 | 長島 昭久         | 自由民主党         |              91798 |        6348 |       3.34 |
|          2024 | 千葉       | 千葉5区    | 12-05         | 矢崎 堅太郎      | 立憲民主党        |             66031 | 英利 アルフィヤ   | 自由民主党         |              59636 |        6395 |       5.09 |
|          2024 | 北海道     | 北海道6区  | 01-06         | 東 国幹          | 自由民主党        |            100694 | 西川 将人         | 立憲民主党         |              94193 |        6501 |       3.34 |
|          2024 | 埼玉       | 埼玉7区    | 11-07         | 小宮山 泰子      | 立憲民主党        |             73293 | 中野 英幸         | 自由民主党         |              66498 |        6795 |       4.86 |
|          2024 | 北海道     | 北海道12区 | 01-12         | 武部 新          | 自由民主党        |             78645 | 川原田 英世       | 立憲民主党         |              71608 |        7037 |       4.68 |
|          2024 | 福島       | 福島4区    | 07-04         | 坂本 竜太郎      | 自由民主党        |             85751 | 斎藤 裕喜         | 立憲民主党         |              78708 |        7043 |       4.28 |
|          2024 | 神奈川     | 神奈川14区 | 14-14         | 赤間 二郎        | 自由民主党        |             81428 | 長友 克洋         | 立憲民主党         |              74238 |        7190 |       4.62 |
|          2024 | 北海道     | 北海道4区  | 01-04         | 大築 紅葉        | 立憲民主党        |            101484 | 中村 裕之         | 自由民主党         |              94090 |        7394 |       3.78 |
|          2024 | 東京       | 東京3区    | 13-03         | 石原 宏高        | 自由民主党        |             61660 | 阿部 祐美子       | 立憲民主党         |              54178 |        7482 |       6.46 |
|          2024 | 東京       | 東京24区   | 13-24         | 萩生田 光一      | 無所属            |             79216 | 有田 芳生         | 立憲民主党         |              71683 |        7533 |       4.99 |
+---------------+------------+------------+---------------+------------------+-------------------+-------------------+-------------------+--------------------+--------------------+-------------+------------+
